,ANO,UF,RACACOR,TOTAL_PESSOAS,CENSO_total/sum_pessoas_racacor
0,2019,RO,Branca,494760,0.2828282828282828
1,2019,AC,Branca,155700,0.1836734693877551
2,2019,AM,Branca,637280,0.16326530612244897
3,2019,RR,Branca,108000,0.21505376344086022
4,2019,PA,Branca,1540980,0.1836734693877551
5,2019,AP,Branca,150840,0.18
6,2019,TO,Branca,312000,0.20408163265306123
7,2019,MA,Branca,1267380,0.18
8,2019,PI,Branca,621680,0.19
9,2019,CE,Branca,2464830,0.2727272727272727
10,2019,RN,Branca,1332660,0.3838383838383838
11,2019,PB,Branca,1279040,0.32323232323232326
12,2019,PE,Branca,2944690,0.31313131313131315
13,2019,AL,Branca,832500,0.25252525252525254
14,2019,SE,Branca,459800,0.20202029078092398
15,2019,BA,Branca,2673720,0.18181818181818182
16,2019,MG,Branca,8040040,0.3838383838383838
17,2019,ES,Branca,1525700,0.38
18,2019,RJ,Branca,7768800,0.45
19,2019,SP,Branca,26170409,0.5816326437630853
20,2019,PR,Branca,7195230,0.6363636363636364
21,2019,SC,Branca,5722400,0.8
22,2019,RS,Branca,8973610,0.79
23,2019,MS,Branca,1164870,0.4387755102040816
24,2019,MT,Branca,960680,0.2828282828282828
25,2019,GO,Branca,2457350,0.35353535353535354
26,2019,DF,Branca,1205200,0.4
27,2020,RO,Branca,553660,0.31313131313131315
28,2020,AC,Branca,149260,0.17346938775510204
29,2020,AM,Branca,525720,0.13402061855670103
30,2020,RR,Branca,101340,0.19148972353600305
31,2020,PA,Branca,1470330,0.1717171717171717
32,2020,AP,Branca,136480,0.16
33,2020,TO,Branca,299630,0.19387755102040816
34,2020,MA,Branca,1203600,0.17
35,2020,PI,Branca,623390,0.19
36,2020,CE,Branca,2296000,0.2525252802992117
37,2020,RN,Branca,1342920,0.3838383838383838
38,2020,PB,Branca,1285760,0.32
39,2020,PE,Branca,2772110,0.29591836734693877
40,2020,AL,Branca,869440,0.26262626262626265
41,2020,SE,Branca,440610,0.19
42,2020,BA,Branca,2833090,0.1919191919191919
43,2020,MG,Branca,8299980,0.39
44,2020,ES,Branca,1542800,0.38
45,2020,RJ,Branca,7814700,0.45
46,2020,SP,Branca,27306970,0.6020408163265306
47,2020,PR,Branca,7476950,0.6632653061224489
48,2020,SC,Branca,6010030,0.83
