,ANO,UF,RACACOR,TOTAL_POPULATION,PERCENTAGE_TOTAL_POPULATION,TOTAL_SUICIDALS,PERCENTAGE_TOTAL_SUICIDALS,PERCENTAGE_SUICIDALS
0,2019,Rondônia,Branca,494760,0.2828282828282828,44,0.3308270676691729,8.893200743794972e-05
1,2019,Acre,Branca,155700,0.1836734693877551,12,0.1846153846153846,7.707129094412332e-05
2,2019,Roraima,Branca,108000,0.2150537634408602,7,0.175,6.481481481481482e-05
3,2019,Pará,Branca,1540980,0.1836734693877551,37,0.1145510835913312,2.4010694493114773e-05
4,2019,Amapá,Branca,150840,0.18,2,0.0333333333333333,1.3259082471492973e-05
5,2019,Tocantins,Branca,312000,0.2040816326530612,24,0.192,7.692307692307693e-05
6,2019,Maranhão,Branca,1267380,0.18,37,0.1267123287671233,2.9194085436096513e-05
7,2019,Piauí,Branca,621680,0.19,84,0.2781456953642384,0.00013511774546390426
8,2019,Ceará,Branca,2464830,0.2727272727272727,100,0.1680672268907563,4.057074930116884e-05
9,2019,Rio Grande do Norte,Branca,1332660,0.3838383838383838,45,0.233160621761658,3.376705236144253e-05
10,2019,Paraíba,Branca,1279040,0.3232323232323232,22,0.1004566210045662,1.720040030022517e-05
11,2019,Pernambuco,Branca,2944690,0.3131313131313131,93,0.2193396226415094,3.1582271818086116e-05
12,2019,Alagoas,Branca,832500,0.2525252525252525,3,0.0265486725663716,3.6036036036036035e-06
13,2019,Sergipe,Branca,459800,0.2020202907809239,8,0.0714285714285714,1.739886907351022e-05
14,2019,Bahia,Branca,2673720,0.1818181818181818,86,0.1407528641571195,3.216492377661086e-05
15,2019,Minas Gerais,Branca,8040040,0.3838383838383838,804,0.488456865127582,9.999950249003736e-05
16,2019,Espírito Santo,Branca,1525700,0.38,74,0.334841628959276,4.850232680081274e-05
17,2019,RJ,Branca,7768800,0.45,263,0.4773139745916515,3.385336216661518e-05
18,2019,SP,Branca,26170409,0.5816326437630853,1549,0.6924452391595888,5.918898707314815e-05
19,2019,Paraná,Branca,7195230,0.6363636363636364,713,0.7939866369710468,9.909342717328007e-05
20,2019,Santa Catarina,Branca,5722400,0.8,684,0.8848641655886158,0.00011953026702083042
21,2019,Rio Grande do Sul,Branca,8973610,0.79,1262,0.8956706884315118,0.00014063459410426795
22,2019,Mato Grosso do Sul,Branca,1164870,0.4387755102040816,87,0.3320610687022901,7.468644569780319e-05
23,2019,Mato Grosso,Branca,960680,0.2828282828282828,78,0.3451327433628318,8.119248865387018e-05
24,2019,Goiás,Branca,2457350,0.3535353535353535,192,0.3478260869565217,7.813294809449204e-05
25,2019,Distrito Federal,Branca,1205200,0.4,86,0.4387755102040816,7.135745104546962e-05
26,2020,Rondônia,Branca,553660,0.3131313131313131,52,0.3851851851851852,9.392045659791208e-05
27,2020,Acre,Branca,149260,0.173469387755102,12,0.1739130434782608,8.039662334181964e-05
28,2020,Amazonas,Branca,525720,0.134020618556701,29,0.0932475884244373,5.516244388647949e-05
29,2020,Roraima,Branca,101340,0.191489723536003,3,0.1111111111111111,2.960331557134399e-05
30,2020,Pará,Branca,1470330,0.1717171717171717,37,0.1010928961748633,2.5164418871953915e-05
31,2020,Tocantins,Branca,299630,0.1938775510204081,23,0.2169811320754717,7.676133898474786e-05
32,2020,Maranhão,Branca,1203600,0.17,54,0.1830508474576271,4.48654037886341e-05
33,2020,Piauí,Branca,623390,0.19,51,0.1672131147540983,8.181074447777475e-05
34,2020,Ceará,Branca,2296000,0.2525252802992117,75,0.1344086021505376,3.2665505226480836e-05
35,2020,Rio Grande do Norte,Branca,1342920,0.3838383838383838,68,0.3177570093457944,5.0635927679980935e-05
36,2020,Paraíba,Branca,1285760,0.32,28,0.1176470588235294,2.1777003484320557e-05
37,2020,Pernambuco,Branca,2772110,0.2959183673469387,85,0.2,3.066256389537212e-05
38,2020,Alagoas,Branca,869440,0.2626262626262626,1,0.0063291139240506,1.1501656238498344e-06
39,2020,Sergipe,Branca,440610,0.19,16,0.125,3.631329293479494e-05
40,2020,Bahia,Branca,2833090,0.1919191919191919,77,0.1111111111111111,2.7178804767938893e-05
41,2020,Minas Gerais,Branca,8299980,0.39,737,0.4832786885245901,8.879539468769804e-05
42,2020,Espírito Santo,Branca,1542800,0.38,77,0.3548387096774194,4.9909255898366603e-05
43,2020,RJ,Branca,7814700,0.45,397,0.5343203230148048,5.08016942429012e-05
44,2020,SP,Branca,27306970,0.6020408163265306,1454,0.6603088101725704,5.324647882939777e-05
45,2020,Paraná,Branca,7476950,0.6632653061224489,649,0.7417142857142857,8.680009897083704e-05
46,2020,Santa Catarina,Branca,6010030,0.83,655,0.8815612382234186,0.0001089844809426908
47,2020,Rio Grande do Sul,Branca,9237240,0.81,1290,0.9129511677282378,0.0001396521038751835
48,2020,Mato Grosso do Sul,Branca,1177770,0.4387755102040816,76,0.3193277310924369,6.452872801990202e-05
49,2020,Mato Grosso,Branca,1041600,0.3,90,0.4054054054054054,8.640552995391705e-05
50,2020,Goiás,Branca,2490600,0.3500000491849422,194,0.3489208633093525,7.789287721834097e-05
51,2020,Distrito Federal,Branca,1190670,0.3939393939393939,90,0.466321243523316,7.558769432336415e-05
52,2021,Rondônia,Branca,541500,0.303030303030303,42,0.2937062937062937,7.75623268698061e-05
