,ANO,UF,RACACOR,TOTAL_PESSOAS,sim_total/sum_pessoas_racacor
0,2019,AC,Branca,12,0.18461538461538463
1,2019,AC,Indígena,4,0.06153846153846154
2,2019,AC,Parda,49,0.7538461538461538
3,2019,AL,Branca,3,0.02654867256637168
4,2019,AL,Parda,110,0.9734513274336283
5,2019,AP,Amarela,1,0.016666666666666666
6,2019,AP,Branca,2,0.03333333333333333
7,2019,AP,Parda,55,0.9166666666666666
8,2019,AP,Preta,2,0.03333333333333333
9,2019,BA,Branca,86,0.1407528641571195
10,2019,BA,Parda,451,0.7381342062193126
11,2019,BA,Preta,74,0.12111292962356793
12,2019,CE,Branca,100,0.16806722689075632
13,2019,CE,Indígena,2,0.0033613445378151263
14,2019,CE,Parda,485,0.8151260504201681
15,2019,CE,Preta,8,0.013445378151260505
16,2019,DF,Branca,86,0.4387755102040816
17,2019,DF,Parda,104,0.5306122448979592
18,2019,DF,Preta,6,0.030612244897959183
19,2019,ES,Branca,74,0.334841628959276
20,2019,ES,Parda,130,0.5882352941176471
21,2019,ES,Preta,17,0.07692307692307693
22,2019,GO,Amarela,1,0.0018115942028985507
23,2019,GO,Branca,192,0.34782608695652173
24,2019,GO,Parda,330,0.5978260869565217
25,2019,GO,Preta,29,0.05253623188405797
26,2019,MA,Amarela,1,0.003424657534246575
27,2019,MA,Branca,37,0.1267123287671233
28,2019,MA,Indígena,4,0.0136986301369863
29,2019,MA,Parda,227,0.7773972602739726
30,2019,MA,Preta,23,0.07876712328767123
31,2019,MG,Amarela,4,0.002430133657351154
32,2019,MG,Branca,804,0.488456865127582
33,2019,MG,Parda,725,0.4404617253948967
34,2019,MG,Preta,113,0.06865127582017011
35,2019,MS,Amarela,1,0.003816793893129771
36,2019,MS,Branca,87,0.3320610687022901
37,2019,MS,Indígena,36,0.13740458015267176
38,2019,MS,Parda,130,0.4961832061068702
39,2019,MS,Preta,8,0.030534351145038167
40,2019,MT,Amarela,1,0.004424778761061947
41,2019,MT,Branca,78,0.34513274336283184
42,2019,MT,Parda,132,0.584070796460177
43,2019,MT,Preta,15,0.06637168141592921
44,2019,PA,Amarela,1,0.0030959752321981426
45,2019,PA,Branca,37,0.11455108359133127
46,2019,PA,Indígena,1,0.0030959752321981426
47,2019,PA,Parda,269,0.8328173374613003
48,2019,PA,Preta,15,0.04643962848297214
49,2019,PB,Branca,22,0.1004566210045662
50,2019,PB,Parda,191,0.8721461187214612
51,2019,PB,Preta,6,0.0273972602739726
52,2019,PE,Branca,93,0.21933962264150944
53,2019,PE,Indígena,3,0.007075471698113208
54,2019,PE,Parda,315,0.7429245283018868
