,ano,uf,racacor,TOTAL,percentage_of_total
0,2019,RO,pop_branca,500061.0,28.61476238624874
1,2019,AC,pop_branca,158295.0,18.578680203045685
2,2019,AM,pop_branca,617365.0,15.881147540983607
3,2019,RR,pop_branca,106920.0,21.199143468950748
4,2019,PA,pop_branca,1575224.0,18.585858585858585
5,2019,AP,pop_branca,153354.0,18.391959798994975
6,2019,TO,pop_branca,310440.0,20.223577235772357
7,2019,MA,pop_branca,1246257.0,17.860746720484357
8,2019,PI,pop_branca,615136.0,18.837675350701403
9,2019,CE,pop_branca,2455701.0,27.089627391742194
10,2019,RN,pop_branca,1343181.0,38.415245737211634
11,2019,PB,pop_branca,1283037.0,32.26130653266331
12,2019,PE,pop_branca,2944690.0,31.376518218623485
13,2019,AL,pop_branca,832500.0,25.278058645096056
14,2019,SE,pop_branca,459800.0,20.181634712411707
15,2019,BA,pop_branca,2747990.0,18.70576339737108
16,2019,MG,pop_branca,8103514.0,38.37675350701403
17,2019,ES,pop_branca,1509640.0,37.865055387713994
18,2019,RJ,pop_branca,7734272.0,45.02512562814071
19,2019,SP,pop_branca,26262236.0,58.248472505091655
20,2019,PR,pop_branca,7160967.0,63.59026369168357
21,2019,SC,pop_branca,5686635.0,80.06042296072508
22,2019,RS,pop_branca,8928174.0,78.83650952858575
23,2019,MS,pop_branca,1162161.0,43.686354378818734
24,2019,MT,pop_branca,974404.0,28.77406281661601
25,2019,GO,pop_branca,2464371.0,35.418768920282545
26,2019,DF,pop_branca,1196161.0,40.1010101010101
27,2020,RO,pop_branca,551874.0,31.149193548387093
28,2020,AC,pop_branca,150138.0,17.272727272727273
29,2020,AM,pop_branca,537852.0,13.66906474820144
30,2020,RR,pop_branca,100777.0,18.941798941798943
31,2020,PA,pop_branca,1504926.0,17.522658610271904
32,2020,AP,pop_branca,133068.0,15.74167507568113
33,2020,TO,pop_branca,304361.0,19.55420466058764
34,2020,MA,pop_branca,1196520.0,17.036290322580644
35,2020,PI,pop_branca,610266.0,18.637274549098194
36,2020,CE,pop_branca,2314368.0,25.454545454545453
37,2020,RN,pop_branca,1346454.0,38.13813813813814
38,2020,PB,pop_branca,1265670.0,31.65829145728643
39,2020,PE,pop_branca,2810346.0,29.75708502024291
40,2020,AL,pop_branca,869440.0,26.262626262626267
41,2020,SE,pop_branca,433653.0,18.79396984924623
42,2020,BA,pop_branca,2788357.0,18.831822759315205
43,2020,MG,pop_branca,8278698.0,38.93893893893894
44,2020,ES,pop_branca,1538740.0,38.05220883534137
45,2020,RJ,pop_branca,7797334.0,45.08032128514056
46,2020,SP,pop_branca,27214404.0,59.877800407331975
47,2020,PR,pop_branca,7453944.0,65.78680203045685
48,2020,SC,pop_branca,6002789.0,83.1494483450351
49,2020,RS,pop_branca,9191624.0,80.84252758274825
50,2020,MS,pop_branca,1183248.0,44.03669724770643
51,2020,MT,pop_branca,1031184.0,29.939516129032256
52,2020,GO,pop_branca,2483484.0,35.040160642570285
53,2020,DF,pop_branca,1193723.0,39.455095862764885
