,ANO,UF,ESTADO,RACACOR,TOTAL_POPULATION,PERCENTAGE_OF_TOTAL,TOTAL_SUICIDALS,percentage_of_total
0,2019,RO,Rondônia,Branca,500061.0,28.61476238624874,44,33.08270676691729
1,2019,AC,Acre,Branca,158295.0,18.578680203045685,12,18.461538461538463
2,2019,RR,Roraima,Branca,106920.0,21.199143468950748,7,17.5
3,2019,PA,Pará,Branca,1575224.0,18.585858585858585,37,11.455108359133128
4,2019,AP,Amapá,Branca,153354.0,18.39195979899497,2,3.333333333333333
5,2019,TO,Tocantins,Branca,310440.0,20.22357723577236,24,19.2
6,2019,MA,Maranhão,Branca,1246257.0,17.860746720484357,37,12.67123287671233
7,2019,PI,Piauí,Branca,615136.0,18.837675350701403,84,27.81456953642384
8,2019,CE,Ceará,Branca,2455701.0,27.089627391742194,100,16.80672268907563
9,2019,RN,Rio Grande do Norte,Branca,1343181.0,38.415245737211634,45,23.316062176165804
10,2019,PB,Paraíba,Branca,1283037.0,32.26130653266331,22,10.04566210045662
11,2019,PE,Pernambuco,Branca,2944690.0,31.376518218623485,93,21.933962264150946
12,2019,AL,Alagoas,Branca,832500.0,25.278058645096056,3,2.6548672566371683
13,2019,SE,Sergipe,Branca,459800.0,20.181634712411707,8,7.142857142857142
14,2019,BA,Bahia,Branca,2747990.0,18.70576339737108,86,14.075286415711949
15,2019,MG,Minas Gerais,Branca,8103514.0,38.37675350701403,804,48.8456865127582
16,2019,ES,Espírito Santo,Branca,1509640.0,37.865055387714,74,33.4841628959276
17,2019,RJ,Rio de Janeiro,Branca,7734272.0,45.02512562814071,263,47.73139745916515
18,2019,SP,São Paulo,Branca,26262236.0,58.248472505091655,1549,69.24452391595888
19,2019,PR,Paraná,Branca,7160967.0,63.59026369168357,713,79.39866369710468
20,2019,SC,Santa Catarina,Branca,5686635.0,80.06042296072508,684,88.48641655886158
21,2019,RS,Rio Grande do Sul,Branca,8928174.0,78.83650952858575,1262,89.56706884315118
22,2019,MS,Mato Grosso do Sul,Branca,1162161.0,43.686354378818734,87,33.20610687022901
23,2019,MT,Mato Grosso,Branca,974404.0,28.77406281661601,78,34.51327433628318
24,2019,GO,Goiás,Branca,2464371.0,35.418768920282545,192,34.78260869565217
25,2019,DF,Distrito Federal,Branca,1196161.0,40.1010101010101,86,43.87755102040816
26,2020,RO,Rondônia,Branca,551874.0,31.149193548387093,52,38.51851851851852
27,2020,AC,Acre,Branca,150138.0,17.272727272727273,12,17.391304347826086
28,2020,AM,Amazonas,Branca,537852.0,13.66906474820144,29,9.32475884244373
29,2020,RR,Roraima,Branca,100777.0,18.941798941798943,3,11.11111111111111
30,2020,PA,Pará,Branca,1504926.0,17.522658610271904,37,10.10928961748634
31,2020,TO,Tocantins,Branca,304361.0,19.55420466058764,23,21.69811320754717
32,2020,MA,Maranhão,Branca,1196520.0,17.036290322580644,54,18.305084745762716
33,2020,PI,Piauí,Branca,610266.0,18.637274549098198,51,16.721311475409838
34,2020,CE,Ceará,Branca,2314368.0,25.454545454545453,75,13.440860215053762
35,2020,RN,Rio Grande do Norte,Branca,1346454.0,38.13813813813814,68,31.77570093457944
36,2020,PB,Paraíba,Branca,1265670.0,31.65829145728643,28,11.76470588235294
37,2020,PE,Pernambuco,Branca,2810346.0,29.75708502024291,85,20.0
38,2020,AL,Alagoas,Branca,869440.0,26.262626262626267,1,0.6329113924050633
39,2020,SE,Sergipe,Branca,433653.0,18.79396984924623,16,12.5
40,2020,BA,Bahia,Branca,2788357.0,18.831822759315205,77,11.11111111111111
41,2020,MG,Minas Gerais,Branca,8278698.0,38.93893893893894,737,48.32786885245902
42,2020,ES,Espírito Santo,Branca,1538740.0,38.05220883534137,77,35.483870967741936
43,2020,RJ,Rio de Janeiro,Branca,7797334.0,45.08032128514056,397,53.43203230148048
44,2020,SP,São Paulo,Branca,27214404.0,59.877800407331975,1454,66.03088101725703
45,2020,PR,Paraná,Branca,7453944.0,65.78680203045685,649,74.17142857142856
46,2020,SC,Santa Catarina,Branca,6002789.0,83.1494483450351,655,88.15612382234185
47,2020,RS,Rio Grande do Sul,Branca,9191624.0,80.84252758274825,1290,91.29511677282376
48,2020,MS,Mato Grosso do Sul,Branca,1183248.0,44.03669724770643,76,31.93277310924369
49,2020,MT,Mato Grosso,Branca,1031184.0,29.939516129032256,90,40.54054054054054
50,2020,GO,Goiás,Branca,2483484.0,35.040160642570285,194,34.89208633093525
51,2020,DF,Distrito Federal,Branca,1193723.0,39.455095862764885,90,46.63212435233161
52,2021,RO,Rondônia,Branca,545110.0,30.412890231621347,42,29.37062937062937
53,2021,AC,Acre,Branca,138840.0,15.821501014198782,8,12.5
54,2021,AM,Amazonas,Branca,586872.0,14.681724845995896,33,11.224489795918368
55,2021,RR,Roraima,Branca,119892.0,21.684210526315788,3,6.8181818181818175
56,2021,PA,Pará,Branca,1450010.0,16.767676767676768,34,9.115281501340483
