,ANO,UF,ESTADO,RACACOR,TOTAL,percentage_of_total
0,2019,AC,Acre,Branca,12,18.461538461538463
1,2019,AC,Acre,Indígena,4,6.153846153846154
2,2019,AC,Acre,Parda,49,75.38461538461539
3,2019,AL,Alagoas,Branca,3,2.6548672566371683
4,2019,AL,Alagoas,Parda,110,97.34513274336283
5,2019,AP,Amapá,Amarela,1,1.6666666666666667
6,2019,AP,Amapá,Branca,2,3.3333333333333335
7,2019,AP,Amapá,Parda,55,91.66666666666666
8,2019,AP,Amapá,Preta,2,3.3333333333333335
9,2019,BA,Bahia,Branca,86,14.075286415711949
10,2019,BA,Bahia,Parda,451,73.81342062193126
11,2019,BA,Bahia,Preta,74,12.111292962356792
12,2019,CE,Ceará,Branca,100,16.80672268907563
13,2019,CE,Ceará,Indígena,2,0.33613445378151263
14,2019,CE,Ceará,Parda,485,81.5126050420168
15,2019,CE,Ceará,Preta,8,1.3445378151260505
16,2019,DF,Distrito Federal,Branca,86,43.87755102040816
17,2019,DF,Distrito Federal,Parda,104,53.06122448979592
18,2019,DF,Distrito Federal,Preta,6,3.061224489795918
19,2019,ES,Espírito Santo,Branca,74,33.4841628959276
20,2019,ES,Espírito Santo,Parda,130,58.82352941176471
21,2019,ES,Espírito Santo,Preta,17,7.6923076923076925
22,2019,GO,Goiás,Amarela,1,0.18115942028985507
23,2019,GO,Goiás,Branca,192,34.78260869565217
24,2019,GO,Goiás,Parda,330,59.78260869565217
25,2019,GO,Goiás,Preta,29,5.253623188405797
26,2019,MA,Maranhão,Amarela,1,0.3424657534246575
27,2019,MA,Maranhão,Branca,37,12.67123287671233
28,2019,MA,Maranhão,Indígena,4,1.36986301369863
29,2019,MA,Maranhão,Parda,227,77.73972602739725
30,2019,MA,Maranhão,Preta,23,7.876712328767123
31,2019,MG,Minas Gerais,Amarela,4,0.24301336573511542
32,2019,MG,Minas Gerais,Branca,804,48.8456865127582
33,2019,MG,Minas Gerais,Parda,725,44.04617253948967
34,2019,MG,Minas Gerais,Preta,113,6.865127582017011
35,2019,MS,Mato Grosso do Sul,Amarela,1,0.38167938931297707
36,2019,MS,Mato Grosso do Sul,Branca,87,33.20610687022901
37,2019,MS,Mato Grosso do Sul,Indígena,36,13.740458015267176
38,2019,MS,Mato Grosso do Sul,Parda,130,49.61832061068702
39,2019,MS,Mato Grosso do Sul,Preta,8,3.0534351145038165
40,2019,MT,Mato Grosso,Amarela,1,0.4424778761061947
41,2019,MT,Mato Grosso,Branca,78,34.51327433628318
42,2019,MT,Mato Grosso,Parda,132,58.4070796460177
43,2019,MT,Mato Grosso,Preta,15,6.637168141592921
44,2019,PA,Pará,Amarela,1,0.30959752321981426
45,2019,PA,Pará,Branca,37,11.455108359133128
46,2019,PA,Pará,Indígena,1,0.30959752321981426
47,2019,PA,Pará,Parda,269,83.28173374613003
48,2019,PA,Pará,Preta,15,4.643962848297214
49,2019,PB,Paraíba,Branca,22,10.045662100456621
50,2019,PB,Paraíba,Parda,191,87.21461187214612
51,2019,PB,Paraíba,Preta,6,2.73972602739726
52,2019,PE,Pernambuco,Branca,93,21.933962264150946
53,2019,PE,Pernambuco,Indígena,3,0.7075471698113208
54,2019,PE,Pernambuco,Parda,315,74.29245283018868
55,2019,PE,Pernambuco,Preta,13,3.0660377358490565
56,2019,PI,Piauí,Branca,84,27.81456953642384
57,2019,PI,Piauí,Parda,200,66.22516556291392
58,2019,PI,Piauí,Preta,18,5.960264900662252
59,2019,PR,Paraná,Amarela,1,0.11135857461024498
60,2019,PR,Paraná,Branca,713,79.39866369710468
61,2019,PR,Paraná,Indígena,1,0.11135857461024498
62,2019,PR,Paraná,Parda,150,16.70378619153675
63,2019,PR,Paraná,Preta,33,3.6748329621380846
64,2019,RJ,Rio de Janeiro,Branca,263,47.73139745916515
65,2019,RJ,Rio de Janeiro,Parda,229,41.560798548094375
66,2019,RJ,Rio de Janeiro,Preta,59,10.707803992740473
67,2019,RN,Rio Grande do Norte,Branca,45,23.316062176165804
68,2019,RN,Rio Grande do Norte,Indígena,1,0.5181347150259068
69,2019,RN,Rio Grande do Norte,Parda,143,74.09326424870466
70,2019,RN,Rio Grande do Norte,Preta,4,2.072538860103627
71,2019,RO,Rondônia,Branca,44,33.08270676691729
72,2019,RO,Rondônia,Parda,87,65.41353383458647
73,2019,RO,Rondônia,Preta,2,1.5037593984962405
74,2019,RR,Roraima,Branca,7,17.5
75,2019,RR,Roraima,Indígena,8,20.0
76,2019,RR,Roraima,Parda,25,62.5
77,2019,RS,Rio Grande do Sul,Branca,1262,89.56706884315118
78,2019,RS,Rio Grande do Sul,Indígena,5,0.35486160397444994
79,2019,RS,Rio Grande do Sul,Parda,75,5.322924059616749
80,2019,RS,Rio Grande do Sul,Preta,67,4.755145493257629
81,2019,SC,Santa Catarina,Amarela,1,0.129366106080207
82,2019,SC,Santa Catarina,Branca,684,88.48641655886158
83,2019,SC,Santa Catarina,Indígena,6,0.7761966364812419
84,2019,SC,Santa Catarina,Parda,61,7.891332470892626
85,2019,SC,Santa Catarina,Preta,21,2.716688227684347
86,2019,SE,Sergipe,Branca,8,7.142857142857142
87,2019,SE,Sergipe,Parda,99,88.39285714285714
88,2019,SE,Sergipe,Preta,5,4.464285714285714
89,2019,SP,São Paulo,Amarela,14,0.6258381761287439
90,2019,SP,São Paulo,Branca,1549,69.24452391595888
91,2019,SP,São Paulo,Parda,580,25.927581582476535
92,2019,SP,São Paulo,Preta,94,4.202056325435851
93,2019,TO,Tocantins,Branca,24,19.2
94,2019,TO,Tocantins,Indígena,5,4.0
95,2019,TO,Tocantins,Parda,86,68.8
96,2019,TO,Tocantins,Preta,10,8.0
97,2020,AC,Acre,Branca,12,17.391304347826086
98,2020,AC,Acre,Indígena,1,1.4492753623188406
99,2020,AC,Acre,Parda,54,78.26086956521739
100,2020,AC,Acre,Preta,2,2.898550724637681
101,2020,AL,Alagoas,Branca,1,0.6329113924050633
102,2020,AL,Alagoas,Parda,157,99.36708860759494
103,2020,AM,Amazonas,Amarela,1,0.3215434083601286
104,2020,AM,Amazonas,Branca,29,9.32475884244373
105,2020,AM,Amazonas,Indígena,50,16.077170418006432
106,2020,AM,Amazonas,Parda,224,72.02572347266882
107,2020,AM,Amazonas,Preta,7,2.2508038585209005
108,2020,AP,Amapá,Amarela,2,4.545454545454546
109,2020,AP,Amapá,Parda,38,86.36363636363636
110,2020,AP,Amapá,Preta,4,9.090909090909092
111,2020,BA,Bahia,Amarela,1,0.1443001443001443
112,2020,BA,Bahia,Branca,77,11.11111111111111
113,2020,BA,Bahia,Parda,536,77.34487734487735
114,2020,BA,Bahia,Preta,79,11.3997113997114
115,2020,CE,Ceará,Amarela,5,0.8960573476702508
116,2020,CE,Ceará,Branca,75,13.440860215053762
117,2020,CE,Ceará,Parda,472,84.58781362007169
118,2020,CE,Ceará,Preta,6,1.0752688172043012
119,2020,DF,Distrito Federal,Amarela,1,0.5181347150259068
120,2020,DF,Distrito Federal,Branca,90,46.63212435233161
121,2020,DF,Distrito Federal,Parda,90,46.63212435233161
122,2020,DF,Distrito Federal,Preta,12,6.217616580310881
123,2020,ES,Espírito Santo,Branca,77,35.483870967741936
124,2020,ES,Espírito Santo,Parda,129,59.44700460829493
125,2020,ES,Espírito Santo,Preta,11,5.0691244239631335
126,2020,GO,Goiás,Branca,194,34.89208633093525
127,2020,GO,Goiás,Parda,330,59.352517985611506
128,2020,GO,Goiás,Preta,32,5.755395683453238
129,2020,MA,Maranhão,Amarela,1,0.3389830508474576
130,2020,MA,Maranhão,Branca,54,18.305084745762713
131,2020,MA,Maranhão,Indígena,4,1.3559322033898304
132,2020,MA,Maranhão,Parda,223,75.59322033898304
133,2020,MA,Maranhão,Preta,13,4.406779661016949
134,2020,MG,Minas Gerais,Amarela,3,0.19672131147540983
135,2020,MG,Minas Gerais,Branca,737,48.32786885245902
136,2020,MG,Minas Gerais,Parda,644,42.22950819672131
137,2020,MG,Minas Gerais,Preta,141,9.245901639344261
138,2020,MS,Mato Grosso do Sul,Amarela,2,0.8403361344537815
139,2020,MS,Mato Grosso do Sul,Branca,76,31.932773109243694
140,2020,MS,Mato Grosso do Sul,Indígena,32,13.445378151260504
141,2020,MS,Mato Grosso do Sul,Parda,120,50.42016806722689
142,2020,MS,Mato Grosso do Sul,Preta,8,3.361344537815126
143,2020,MT,Mato Grosso,Amarela,1,0.45045045045045046
144,2020,MT,Mato Grosso,Branca,90,40.54054054054054
145,2020,MT,Mato Grosso,Indígena,4,1.8018018018018018
146,2020,MT,Mato Grosso,Parda,116,52.25225225225225
147,2020,MT,Mato Grosso,Preta,11,4.954954954954955
148,2020,PA,Pará,Branca,37,10.10928961748634
149,2020,PA,Pará,Indígena,1,0.273224043715847
150,2020,PA,Pará,Parda,308,84.15300546448088
151,2020,PA,Pará,Preta,20,5.46448087431694
152,2020,PB,Paraíba,Branca,28,11.76470588235294
153,2020,PB,Paraíba,Indígena,2,0.8403361344537815
154,2020,PB,Paraíba,Parda,207,86.97478991596638
155,2020,PB,Paraíba,Preta,1,0.42016806722689076
156,2020,PE,Pernambuco,Amarela,1,0.2352941176470588
157,2020,PE,Pernambuco,Branca,85,20.0
158,2020,PE,Pernambuco,Indígena,3,0.7058823529411765
159,2020,PE,Pernambuco,Parda,318,74.82352941176471
160,2020,PE,Pernambuco,Preta,18,4.235294117647059
161,2020,PI,Piauí,Branca,51,16.721311475409838
162,2020,PI,Piauí,Parda,232,76.0655737704918
163,2020,PI,Piauí,Preta,22,7.213114754098362
164,2020,PR,Paraná,Amarela,5,0.5714285714285714
165,2020,PR,Paraná,Branca,649,74.17142857142856
166,2020,PR,Paraná,Indígena,4,0.4571428571428572
167,2020,PR,Paraná,Parda,195,22.285714285714285
168,2020,PR,Paraná,Preta,22,2.5142857142857142
169,2020,RJ,Rio de Janeiro,Amarela,2,0.2691790040376851
170,2020,RJ,Rio de Janeiro,Branca,397,53.43203230148048
171,2020,RJ,Rio de Janeiro,Parda,251,33.78196500672948
172,2020,RJ,Rio de Janeiro,Preta,93,12.516823687752353
173,2020,RN,Rio Grande do Norte,Branca,68,31.775700934579437
174,2020,RN,Rio Grande do Norte,Parda,144,67.28971962616822
175,2020,RN,Rio Grande do Norte,Preta,2,0.9345794392523363
176,2020,RO,Rondônia,Amarela,1,0.7407407407407408
177,2020,RO,Rondônia,Branca,52,38.51851851851852
178,2020,RO,Rondônia,Indígena,1,0.7407407407407408
179,2020,RO,Rondônia,Parda,75,55.55555555555556
180,2020,RO,Rondônia,Preta,6,4.444444444444445
181,2020,RR,Roraima,Branca,3,11.11111111111111
182,2020,RR,Roraima,Indígena,8,29.629629629629626
183,2020,RR,Roraima,Parda,16,59.25925925925925
184,2020,RS,Rio Grande do Sul,Amarela,2,0.14154281670205238
185,2020,RS,Rio Grande do Sul,Branca,1290,91.29511677282377
186,2020,RS,Rio Grande do Sul,Parda,59,4.175513092710545
187,2020,RS,Rio Grande do Sul,Preta,62,4.387827317763623
188,2020,SC,Santa Catarina,Branca,655,88.15612382234185
189,2020,SC,Santa Catarina,Indígena,2,0.2691790040376851
190,2020,SC,Santa Catarina,Parda,72,9.690444145356663
191,2020,SC,Santa Catarina,Preta,14,1.8842530282637955
192,2020,SE,Sergipe,Branca,16,12.5
193,2020,SE,Sergipe,Parda,109,85.15625
194,2020,SE,Sergipe,Preta,3,2.34375
195,2020,SP,São Paulo,Amarela,19,0.862851952770209
196,2020,SP,São Paulo,Branca,1454,66.03088101725703
197,2020,SP,São Paulo,Indígena,2,0.09082652134423251
198,2020,SP,São Paulo,Parda,614,27.883742052679384
199,2020,SP,São Paulo,Preta,113,5.131698455949137
200,2020,TO,Tocantins,Branca,23,21.69811320754717
201,2020,TO,Tocantins,Indígena,1,0.9433962264150944
202,2020,TO,Tocantins,Parda,66,62.264150943396224
203,2020,TO,Tocantins,Preta,16,15.09433962264151
204,2021,AC,Acre,Branca,8,12.5
205,2021,AC,Acre,Indígena,3,4.6875
206,2021,AC,Acre,Parda,53,82.8125
207,2021,AL,Alagoas,Branca,2,1.3793103448275863
208,2021,AL,Alagoas,Parda,142,97.93103448275862
209,2021,AL,Alagoas,Preta,1,0.6896551724137931
210,2021,AM,Amazonas,Amarela,1,0.3401360544217687
211,2021,AM,Amazonas,Branca,33,11.224489795918368
212,2021,AM,Amazonas,Indígena,55,18.70748299319728
213,2021,AM,Amazonas,Parda,202,68.70748299319727
214,2021,AM,Amazonas,Preta,3,1.0204081632653061
215,2021,AP,Amapá,Branca,1,2.083333333333333
216,2021,AP,Amapá,Parda,46,95.83333333333334
217,2021,AP,Amapá,Preta,1,2.083333333333333
218,2021,BA,Bahia,Amarela,5,0.6313131313131313
219,2021,BA,Bahia,Branca,105,13.257575757575758
220,2021,BA,Bahia,Parda,597,75.37878787878788
221,2021,BA,Bahia,Preta,85,10.732323232323232
222,2021,CE,Ceará,Branca,96,12.13653603034134
223,2021,CE,Ceará,Indígena,1,0.12642225031605564
224,2021,CE,Ceará,Parda,683,86.34639696586599
225,2021,CE,Ceará,Preta,11,1.390644753476612
226,2021,DF,Distrito Federal,Branca,74,39.784946236559136
227,2021,DF,Distrito Federal,Parda,102,54.83870967741935
